"ticket_id","region","channel","handle_minutes","first_contact","satisfaction"
7146,"Southwest","Email",52,"yes",4
7147,"Southwest","Chat",57,"no",4
7148,"Southwest","Phone",44.8,"no",3
7149,"Southwest","Phone",48.9,"yes",4
7150,"Southwest","Phone",39.2,"no",3
7151,"Southwest","Phone",62.7,"yes",4
7152,"Southwest","Phone",43.1,"yes",5
7153,"Southwest","Email",38.4,"yes",5
7154,"Southwest","Chat",53.5,"yes",4
7155,"Southwest","Phone",32.2,"yes",4
7156,"Southwest","Phone",39.8,"yes",5
7157,"Southwest","Email",48.1,"yes",5
7158,"Southwest","Phone",31.6,"no",3
7159,"Southwest","Phone",61.6,"no",4
7160,"Southwest","Email",38.9,"yes",4
7161,"Southwest","Email",37.5,"yes",4
7162,"Southwest","Email",43.9,"no",3
7163,"Southwest","Chat",34,"yes",5
7164,"Southwest","Email",45.9,"yes",4
7165,"Southwest","Chat",45.2,"yes",5
7166,"Southwest","Email",49.6,"yes",4
7167,"Southwest","Email",38.1,"no",3
7168,"Southwest","Phone",47.7,"yes",4
7169,"Southwest","Chat",47.6,"yes",5
7170,"Southwest","Email",54.7,"yes",3
7171,"Southwest","Email",44.7,"no",2
7172,"Southwest","Email",33.9,"yes",5
7173,"Southwest","Email",34.2,"yes",4
7174,"Southwest","Phone",51.6,"no",4
7175,"Southwest","Phone",68.8,"no",3
7176,"Southwest","Phone",41.3,"no",3
7177,"Southwest","Chat",31.8,"no",3
7178,"Southwest","Email",53.2,"yes",4
7179,"Southwest","Phone",73.8,"yes",4
7180,"Southwest","Phone",60.3,"yes",5
7181,"Southwest","Phone",42,"yes",5
7182,"Southwest","Chat",63,"yes",3
7183,"Southwest","Phone",47.9,"yes",3
7184,"Southwest","Phone",65.6,"no",2
7185,"Southwest","Phone",43.7,"yes",5
7186,"Southwest","Phone",62.6,"yes",4
7187,"Southwest","Phone",44,"yes",5
7188,"Southwest","Email",50,"yes",5
7189,"Southwest","Chat",43.7,"yes",5
7190,"Southwest","Email",59.9,"yes",4
7191,"Southwest","Phone",45.4,"yes",4
7192,"Southwest","Chat",32.3,"no",3
7193,"Southwest","Email",31,"yes",5
7194,"Southwest","Phone",40.4,"no",3
7195,"Southwest","Chat",54.5,"yes",3
7196,"Southwest","Phone",46.6,"yes",4
7197,"Southwest","Email",39.7,"yes",4
7198,"Southwest","Email",37.7,"yes",4
7199,"Southwest","Phone",69.6,"yes",5
7200,"Southwest","Phone",38.8,"yes",4
7201,"Southwest","Chat",46.1,"no",3
7202,"Southwest","Email",23.3,"yes",4
7203,"Southwest","Email",34.9,"yes",5
7204,"Southwest","Phone",44,"yes",4
7205,"Southwest","Phone",42,"yes",3
7206,"Southwest","Email",46.5,"yes",4
7207,"Southwest","Email",27.3,"yes",5
7208,"Southwest","Phone",47,"yes",3
7209,"Southwest","Phone",49.9,"yes",4
7210,"Southwest","Phone",46.5,"yes",5
7211,"Southwest","Phone",55.6,"yes",5
7212,"Southwest","Chat",37.6,"yes",3
7213,"Southwest","Phone",40.2,"yes",4
7214,"Southwest","Email",37.2,"yes",5
7215,"Southwest","Phone",30.4,"no",2
7216,"Southwest","Phone",46.2,"yes",4
7217,"Southwest","Phone",60.6,"yes",4
7218,"Southwest","Phone",42.4,"yes",4
7219,"Southwest","Phone",32,"no",3
7220,"Southwest","Phone",34.2,"yes",5
7221,"Southwest","Phone",58.8,"yes",3
7222,"Southwest","Phone",68.6,"no",4
7223,"Southwest","Chat",49.4,"no",3
7224,"Southwest","Phone",60.5,"yes",5
7225,"Southwest","Phone",30.6,"yes",4
7226,"Southwest","Email",57.3,"yes",4
7227,"Southwest","Chat",52.7,"yes",5
7228,"Southwest","Email",35.1,"no",2
7229,"Southwest","Email",37.5,"no",4
7230,"Southwest","Chat",63.9,"yes",4
7231,"Southwest","Chat",44.9,"yes",4
7232,"Southwest","Phone",68.7,"yes",4
7233,"Southwest","Email",35.9,"yes",4
7234,"Southwest","Email",32.2,"yes",5
7235,"Southwest","Phone",42.2,"no",3
7236,"Southwest","Phone",45.6,"no",3
7237,"Southwest","Email",59.1,"yes",4
7238,"Southwest","Phone",58.5,"yes",4
7239,"Southwest","Phone",61.3,"yes",5
7240,"Southwest","Chat",76.7,"yes",5
8001,"Northeast","Phone",37.2,"yes",4
8002,"Northeast","Chat",25.9,"no",3
8003,"Northeast","Phone",29.6,"yes",4
8004,"Northeast","Email",30.1,"yes",5
8005,"Northeast","Chat",52.4,"no",4
8006,"Northeast","Email",28.4,"yes",5
8007,"Northeast","Chat",27.3,"yes",5
8008,"Northeast","Email",51.4,"yes",4
8009,"Northeast","Phone",31.3,"no",2
8010,"Northeast","Phone",28.1,"yes",4
8011,"Northeast","Email",62.9,"yes",4
8012,"Northeast","Chat",46.1,"no",3
8013,"Northeast","Phone",42.3,"yes",4
8014,"Northeast","Phone",34.2,"yes",4
8015,"Northeast","Phone",35.8,"no",2
8016,"Northeast","Chat",19.5,"yes",5
8017,"Northeast","Phone",33.8,"yes",5
8018,"Northeast","Phone",50.8,"yes",5
8019,"Northeast","Email",66.9,"yes",2
8020,"Northeast","Phone",38.9,"no",4
8021,"Northeast","Email",54.2,"no",2
8022,"Northeast","Email",24.3,"yes",5
8023,"Northeast","Email",43.5,"yes",3
8024,"Northeast","Email",34.9,"no",3
8025,"Northeast","Email",24.1,"no",3
8026,"Northeast","Phone",52.4,"yes",3
8027,"Northeast","Phone",39.6,"yes",5
8028,"Northeast","Chat",28.3,"no",4
8029,"Northeast","Email",34.2,"yes",4
8030,"Northeast","Chat",61.5,"no",4
8031,"Northeast","Phone",38.3,"no",2
8032,"Northeast","Chat",35.4,"no",4
8033,"Northeast","Phone",40.4,"yes",5
8034,"Northeast","Chat",24.5,"yes",4
8035,"Northeast","Phone",50.5,"no",4
8036,"Northeast","Email",46.2,"yes",5
8037,"Northeast","Phone",42.6,"yes",4
8038,"Northeast","Email",48.7,"no",4
8039,"Northeast","Email",63.4,"yes",5
8040,"Northeast","Email",23.5,"yes",5
8041,"Northeast","Phone",49.4,"yes",4
8042,"Northeast","Phone",59.9,"yes",4
8043,"Northeast","Email",46.8,"yes",5
8044,"Northeast","Phone",45.4,"no",3
8045,"Northeast","Email",41.4,"yes",4
8046,"Northeast","Email",31.8,"yes",4
8047,"Northeast","Phone",40,"yes",5
8048,"Northeast","Chat",30.2,"yes",5
8049,"Northeast","Chat",26.6,"yes",5
8050,"Northeast","Chat",49.6,"no",3
8051,"Northeast","Phone",47.2,"yes",5
8052,"Northeast","Phone",16.6,"yes",4
8053,"Northeast","Phone",28.4,"no",3
8054,"Northeast","Phone",33.8,"yes",5
8055,"Northeast","Phone",52.4,"yes",5
8056,"Northeast","Chat",63.1,"no",3
8057,"Northeast","Email",45.9,"yes",4
8058,"Northeast","Email",44.1,"no",3
8059,"Northeast","Phone",48.4,"yes",4
8060,"Northeast","Chat",24.8,"no",2
8061,"Northeast","Chat",37.2,"no",4
8062,"Northeast","Chat",28.3,"no",3
8063,"Northeast","Email",25.9,"no",4
8064,"Northeast","Phone",28.7,"yes",5
8065,"Northeast","Phone",53,"yes",5
8066,"Northeast","Phone",34.3,"yes",4
8067,"Northeast","Phone",57,"no",4
8068,"Northeast","Email",40.2,"no",4
8069,"Northeast","Email",30.3,"yes",3
8070,"Northeast","Chat",22.6,"no",3
8071,"Northeast","Phone",47.4,"yes",4
8072,"Northeast","Email",36.1,"yes",3
8073,"Northeast","Email",53.2,"no",3
8074,"Northeast","Email",33.6,"yes",4
8075,"Northeast","Phone",48.7,"no",4
8076,"Northeast","Phone",30,"no",4
8077,"Northeast","Chat",66.6,"yes",4
8078,"Northeast","Phone",27.7,"yes",3
8079,"Northeast","Email",24.9,"yes",5
8080,"Northeast","Phone",23.9,"yes",3
8081,"Northeast","Phone",48.8,"yes",5
8082,"Northeast","Email",53,"yes",5
8083,"Northeast","Chat",31.1,"yes",3
8084,"Northeast","Chat",31.2,"yes",4
8085,"Northeast","Email",38.3,"yes",4
8086,"Northeast","Phone",48,"no",4
8087,"Northeast","Email",32.8,"no",3
8088,"Northeast","Chat",34.9,"yes",5
8089,"Northeast","Phone",22.8,"no",3
8090,"Northeast","Phone",51.5,"yes",5
8091,"Northeast","Phone",33.9,"yes",3
8092,"Northeast","Phone",30.1,"no",4
8093,"Northeast","Phone",31,"yes",5
8094,"Northeast","Email",39.3,"yes",4
8095,"Northeast","Phone",39.2,"yes",5
8096,"Northeast","Email",49.3,"no",3
8097,"Northeast","Phone",40.4,"yes",3
8098,"Northeast","Chat",32.2,"no",3
8099,"Northeast","Email",45.6,"yes",5
8100,"Northeast","Phone",34.1,"yes",4
8101,"Northeast","Email",16.5,"yes",3
8102,"Northeast","Phone",38.2,"yes",5
8103,"Northeast","Email",42.4,"yes",5
8104,"Northeast","Chat",71.1,"yes",4
8105,"Northeast","Phone",46.7,"yes",4
8106,"Northeast","Chat",55.6,"yes",3
8107,"Northeast","Email",52.2,"yes",4
8108,"Northeast","Phone",26.1,"yes",4
8109,"Northeast","Phone",41.9,"yes",5
8110,"Northeast","Phone",32.5,"no",4
8111,"Northeast","Email",29.8,"yes",4
8112,"Northeast","Chat",36,"yes",4
8113,"Northeast","Chat",34.9,"no",4
8114,"Northeast","Chat",40.4,"yes",4
8115,"Northeast","Phone",47.6,"yes",4
8116,"Northeast","Phone",36.5,"yes",5
8117,"Northeast","Email",35,"yes",5
8118,"Northeast","Email",22.1,"yes",4
8119,"Northeast","Phone",49.6,"yes",5
8120,"Northeast","Email",44.6,"yes",5
8121,"Northeast","Chat",51.9,"yes",5
8122,"Northeast","Email",55.8,"yes",5
8123,"Northeast","Phone",33.2,"yes",5
8124,"Northeast","Email",37.6,"no",4
8125,"Northeast","Phone",49.2,"yes",5
8126,"Northeast","Phone",41.3,"yes",3
8127,"Northeast","Email",45.6,"no",3
8128,"Northeast","Phone",46.3,"yes",5
8129,"Northeast","Email",30.6,"yes",4
8130,"Northeast","Phone",37.5,"yes",4
8131,"Northeast","Phone",32.3,"yes",4
8132,"Northeast","Email",49.8,"yes",5
8133,"Northeast","Chat",61.1,"no",3
8134,"Northeast","Phone",55.3,"yes",3
8135,"Northeast","Chat",38.5,"yes",4
8136,"Northeast","Chat",18.9,"yes",4
8137,"Northeast","Chat",33.7,"yes",4
8138,"Northeast","Phone",46.2,"no",3
8139,"Northeast","Phone",27,"yes",3
8140,"Northeast","Email",38,"yes",4
8141,"Northeast","Phone",34.5,"yes",3
8142,"Northeast","Chat",56.4,"yes",5
8143,"Northeast","Phone",35,"no",3
8144,"Northeast","Phone",44.7,"yes",5
8145,"Northeast","Chat",75.1,"yes",4
8146,"Northeast","Phone",46.2,"no",3
8147,"Northeast","Email",22.6,"no",4
8148,"Northeast","Phone",64.5,"yes",4
8149,"Northeast","Chat",72.7,"yes",5
8150,"Northeast","Phone",39.2,"yes",5
8151,"Northeast","Chat",48.7,"yes",3
8152,"Northeast","Phone",40.1,"yes",5
8153,"Northeast","Phone",35.7,"yes",5
8154,"Northeast","Chat",39.2,"yes",5
8155,"Northeast","Phone",33.8,"yes",4
8156,"Northeast","Chat",43.6,"yes",5
8157,"Northeast","Chat",30.5,"no",3
8158,"Northeast","Email",39.1,"yes",5
8159,"Northeast","Email",66,"yes",4
8160,"Northeast","Chat",51.9,"yes",4
8161,"Northeast","Chat",20.8,"yes",5
8162,"Northeast","Email",40,"yes",5
8163,"Northeast","Email",30.4,"yes",5
8164,"Northeast","Chat",42.5,"yes",4
8165,"Northeast","Email",15.9,"yes",4
8166,"Northeast","Email",54,"yes",4
8167,"Northeast","Phone",27.1,"yes",4
8168,"Northeast","Phone",38.2,"yes",3
8169,"Northeast","Phone",38.1,"yes",5
8170,"Northeast","Email",32.2,"yes",3
8171,"Northeast","Chat",43.7,"no",3
8172,"Northeast","Chat",22.4,"yes",5
8173,"Northeast","Phone",31.3,"yes",4
8174,"Northeast","Phone",44,"yes",5
8175,"Northeast","Phone",34.2,"yes",4
8176,"Northeast","Phone",38.3,"no",4
8177,"Northeast","Email",28.9,"no",3
8178,"Northeast","Phone",44.6,"yes",4
8179,"Northeast","Email",33.8,"yes",5
8180,"Northeast","Phone",63.4,"no",4
