order_id,region,channel,customer_type,order_value,delivery_days,satisfaction_rating,returned
10149,east,mobile_app,new,118.9,5,4,no
10150,south,mobile_app,returning,59.42,4,4,no
10151,west,phone,returning,60.87,4,2,no
10152,west,web,returning,82.5,3,5,no
10153,west,phone,returning,60.72,3,1,yes
10154,north,web,returning,68.99,7,5,no
10155,south,web,returning,168,6,2,no
10156,west,mobile_app,new,76.73,6,4,yes
10157,north,mobile_app,new,128.74,1,3,no
10158,east,phone,returning,69.06,6,5,yes
10159,west,web,returning,45.42,2,4,no
10160,north,web,returning,54.54,4,4,no
10161,north,mobile_app,returning,94.11,4,1,no
10162,west,mobile_app,new,76.08,4,3,no
10163,west,mobile_app,returning,89.68,4,4,no
10164,south,web,returning,61.01,5,4,yes
10165,north,phone,returning,82.63,2,5,no
10166,north,mobile_app,new,112.78,4,4,no
10167,south,web,returning,184.8,6,5,yes
10168,north,web,new,39.65,6,3,yes
10169,east,mobile_app,returning,30.41,3,4,no
10170,west,mobile_app,returning,40.69,5,3,no
10171,north,web,returning,249.54,4,4,no
10172,east,web,returning,137.85,7,5,no
10173,south,mobile_app,new,62.34,3,5,yes
10174,west,mobile_app,new,118.1,1,4,no
10175,east,web,returning,240.51,3,3,no
10176,west,mobile_app,new,159.34,8,5,no
10177,south,phone,new,66.4,2,5,no
10178,south,web,new,26.78,7,5,no
10179,east,phone,new,83.86,5,2,yes
10180,south,mobile_app,returning,40.54,6,5,yes
10181,north,phone,new,35.69,9,5,yes
10182,east,mobile_app,returning,79.54,6,1,no
10183,south,web,new,128.74,2,4,no
10184,north,web,new,55.53,3,5,no
10185,east,phone,returning,20.95,2,4,no
10186,west,mobile_app,returning,73.79,4,2,yes
10187,north,web,returning,75.73,2,5,no
10188,west,web,new,37.26,3,5,no
10189,east,mobile_app,returning,76.61,1,5,no
10190,south,phone,new,42.22,4,1,yes
10191,north,web,returning,153.07,7,5,no
10192,north,mobile_app,returning,42.6,8,4,no
10193,east,web,returning,76.71,8,1,no
10194,north,mobile_app,returning,59.53,6,4,no
10195,east,web,new,99.59,7,4,no
10196,south,phone,returning,61.34,1,3,no
10197,south,web,returning,167.42,8,2,no
10198,north,web,returning,128.82,6,4,no
10199,south,phone,returning,43.73,1,4,yes
10200,east,mobile_app,returning,92.81,6,4,no
10201,west,mobile_app,returning,66.4,6,5,no
10202,south,phone,returning,57.38,1,4,no
10203,east,mobile_app,new,44.36,2,3,no
10204,north,web,new,63.18,5,5,no
10205,east,web,returning,74.9,3,4,no
10206,east,mobile_app,returning,118.16,3,5,no
10207,east,web,new,29.58,5,4,yes
10208,south,web,new,108.74,8,4,no
10209,north,mobile_app,new,64.32,12,1,no
10210,east,web,new,68.42,2,4,yes
10211,north,mobile_app,returning,144.15,2,4,no
10212,south,phone,returning,89.28,4,5,yes
10213,east,phone,new,241.59,2,4,no
10214,north,mobile_app,returning,67.72,4,3,no
10215,south,web,new,13.68,2,5,yes
10216,west,mobile_app,returning,134.76,3,4,no
10217,east,web,new,56.6,3,4,no
10218,south,mobile_app,new,71.08,4,4,no
10219,south,phone,returning,154.08,4,4,no
10220,east,web,returning,112.93,9,4,no
10221,north,phone,new,63.98,4,5,no
10222,west,mobile_app,returning,179.14,1,4,no
10223,west,web,returning,196.74,4,2,no
10224,north,mobile_app,returning,37.07,4,4,no
10225,north,mobile_app,new,74.89,3,4,no
10226,east,mobile_app,new,78.66,3,4,no
10227,north,web,new,78.38,4,2,yes
10228,north,web,new,99.37,5,3,no
10229,north,mobile_app,new,93.61,4,5,yes
10230,south,web,new,23.34,3,3,no
10231,west,web,returning,399.98,6,3,no
10232,east,phone,new,71.26,3,5,no
10233,east,mobile_app,returning,72.81,6,1,no
10234,north,mobile_app,new,45.99,5,4,no
10235,east,mobile_app,returning,42.51,2,5,no
10236,south,web,new,62.14,3,4,no
10237,north,mobile_app,new,40.09,7,4,yes
10238,east,mobile_app,returning,34.32,3,5,no
10239,east,mobile_app,new,378.05,6,3,no
10240,north,phone,new,28.21,6,5,no
